"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Oil",-2.148,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Gas",NA,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Coal",NA,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Hydro",NA,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Wind",NA,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Solar",NA,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Storage",NA,"Coastal"
2011,"Chistochina","Copper River/Chugach","PCE","Final","Other",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Oil",632.583,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Gas",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Coal",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Hydro",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Wind",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Solar",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Storage",NA,"Coastal"
2011,"Coffman Cove","Southeast","PCE","Final","Other",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Oil",2779,"Coastal"
2011,"Craig","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Craig","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Oil",65,"Coastal"
2011,"Viking","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Viking","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Hydro",17791,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Black Bear Lake","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Hydro",6115,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"South Fork","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",-0.6,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
